id,Study,Country,Region,Site,neonatal,Year,species,ST,N50,contig_count,total_size,resistance_score,K_locus,K_type,K_locus_confidence,O_locus,O_type,O_locus_confidence
ERR6349916,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,177694,273,5634688,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6349929,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,267592,226,5631656,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350132,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,177754,260,5634505,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350134,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,179068,241,5628717,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350135,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,214813,252,5634004,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350148,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,203957,218,5634338,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350149,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,204003,260,5641309,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350150,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,204003,324,5656989,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350151,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,243831,280,5643634,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350152,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,204003,221,5634881,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350197,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,307638,243,5631944,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350198,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,200656,316,5649419,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350200,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,243827,251,5632005,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350212,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,203957,264,5635357,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350214,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,204003,786,5776624,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350763,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,203990,329,5652209,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350765,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,210730,248,5632687,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350775,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,204003,273,5639615,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350801,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,267592,243,5632451,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350803,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,267553,218,5635543,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6350930,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,269255,229,5635095,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6351003,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,214725,262,5632552,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
ERR6351014,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,204003,238,5633251,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
PID-0821-157-ZN0158,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,185257,600,5707498,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
PID-0821-158-ZN0157,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,178003,532,5692551,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
PID-0821-214-ZN0200,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,178053,378,5642434,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
PID-0821-ZJN0038,SPINZ,Zambia,Eastern Africa,Site 10,neonate,2015,Klebsiella pneumoniae,ST307,177475,417,5654073,1,KL102,Capsule null,Typeable,O1/O2v2,O2afg,Typeable
