id,Study,Country,Region,Site,neonatal,Year,species,ST,N50,contig_count,total_size,resistance_score,K_locus,K_type,K_locus_confidence,O_locus,O_type,O_locus_confidence
111011,NeoBAC,Kenya,Eastern Africa,Site 4,neonate,2021,Klebsiella pneumoniae,ST2632,251451,168,5641571,1,KL122,unknown (KL122),Typeable,O1/O2v2,O1ab,Typeable
111313,NeoBAC,Kenya,Eastern Africa,Site 4,neonate,2021,Klebsiella pneumoniae,ST2632,219906,182,5645769,1,KL122,unknown (KL122),Typeable,O1/O2v2,O1ab,Typeable
111825,NeoBAC,Kenya,Eastern Africa,Site 4,neonate,2021,Klebsiella pneumoniae,ST14,350189,100,5668683,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
111827,NeoBAC,Kenya,Eastern Africa,Site 4,neonate,2021,Klebsiella pneumoniae,ST14,350189,94,5668520,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
111837,NeoBAC,Kenya,Eastern Africa,Site 4,neonate,2021,Klebsiella pneumoniae,ST14,365065,97,5668841,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
111838,NeoBAC,Kenya,Eastern Africa,Site 4,neonate,2021,Klebsiella pneumoniae,ST14,350189,99,5668370,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
111839,NeoBAC,Kenya,Eastern Africa,Site 4,neonate,2021,Klebsiella pneumoniae,ST14,350189,91,5667871,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
111841,NeoBAC,Kenya,Eastern Africa,Site 4,neonate,2021,Klebsiella pneumoniae,ST14,371394,86,5667979,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
111850,NeoBAC,Kenya,Eastern Africa,Site 4,neonate,2021,Klebsiella pneumoniae,ST14,364779,95,5668233,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
111865,NeoBAC,Kenya,Eastern Africa,Site 4,neonate,2021,Klebsiella pneumoniae,ST14,370284,93,5668469,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
112035,NeoBAC,Kenya,Eastern Africa,Site 4,neonate,2021,Klebsiella pneumoniae,ST14,369847,98,5665429,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
112070,NeoBAC,Kenya,Eastern Africa,Site 4,neonate,2021,Klebsiella pneumoniae,ST14,350189,97,5668371,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
