id,Study,Country,Region,Site,neonatal,Year,species,ST,N50,contig_count,total_size,resistance_score,K_locus,K_type,K_locus_confidence,O_locus,O_type,O_locus_confidence
CLIN.003293,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1414,111503,312,5465947,0,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable
CLIN.003477,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1414,111601,338,5465500,0,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable
CLIN.004272,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1414,105235,336,5467072,0,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable
CLIN.004469,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1414,105140,325,5466657,0,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable
CLIN.004517,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1414,115332,326,5466587,0,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable
CLIN.004518,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1414,111502,328,5466880,0,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable
CLIN.004538,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1414,111502,331,5468107,0,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable
CLIN.004980,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1414,105140,321,5467018,0,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable
CLIN.MF1900,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1414,109165,327,5467030,0,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable
CLIN.MF1982,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1414,99245,317,5464874,0,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable
CLIN.MF2033,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1414,111503,331,5466402,0,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable
CLIN.MF2551,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1414,105235,336,5467657,0,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable
CLIN.MF2743,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1414,111503,344,5466636,0,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable
CLIN.MF2876,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1414,111503,336,5467717,0,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable
CLIN.MF2888,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1414,111503,326,5466820,0,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable
CLIN.MF2991,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1414,111502,330,5467341,0,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable
CLIN.MF3028,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1414,109536,310,5465522,0,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable
CLIN.MF10143,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1805,266040,241,5630348,1,KL48,K48,Typeable,O3/O3a,O3/O3a,Typeable
CLIN.MF10320,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST1805,240889,267,5630559,1,KL48,K48,Typeable,O3/O3a,O3/O3a,Typeable
CLIN.MF9577,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST17,185404,164,5374922,0,KL25,K25,Typeable,O5,O5,Typeable
CLIN.MF9735,NIMBI,Botswana,Southern Africa,Site 14,neonate,2023,Klebsiella pneumoniae,ST17,274809,166,5375116,0,KL25,K25,Typeable,O5,O5,Typeable
