id,Study,Country,Region,Site,neonatal,Year,species,ST,N50,contig_count,total_size,resistance_score,K_locus,K_type,K_locus_confidence,O_locus,O_type,O_locus_confidence
BG113,BabyGERMS,South Africa,Southern Africa,Site 17,neonate,2019,Klebsiella pneumoniae,ST17,427899,55,5591870,2,KL25,K25,Typeable,O5,O5,Typeable
BG265,BabyGERMS,South Africa,Southern Africa,Site 17,neonate,2019,Klebsiella pneumoniae,ST17,370004,46,5491837,2,KL25,K25,Typeable,O5,O5,Typeable
BG1138,BabyGERMS,South Africa,Southern Africa,Site 21,neonate,2020,Klebsiella pneumoniae,ST307,244540,122,5845718,2,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable
BG1318,BabyGERMS,South Africa,Southern Africa,Site 21,neonate,2020,Klebsiella pneumoniae,ST307,214866,121,5846821,2,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable
BG1141,BabyGERMS,South Africa,Southern Africa,Site 21,neonate,2020,Klebsiella pneumoniae,ST307,244540,115,5846898,2,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable
BG1153,BabyGERMS,South Africa,Southern Africa,Site 21,neonate,2020,Klebsiella pneumoniae,ST307,214810,112,5841110,2,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable
BG1314,BabyGERMS,South Africa,Southern Africa,Site 21,neonate,2020,Klebsiella pneumoniae,ST307,244540,112,5843125,2,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable
BG127,BabyGERMS,South Africa,Southern Africa,Site 20,neonate,2019,Klebsiella pneumoniae,ST348,144971,158,5675271,1,KL62,K62,Typeable,O1/O2v1,O1ab,Typeable
BG243,BabyGERMS,South Africa,Southern Africa,Site 20,neonate,2019,Klebsiella pneumoniae,ST348,305708,63,5696064,1,KL62,K62,Typeable,O1/O2v1,O1ab,Typeable
BG150,BabyGERMS,South Africa,Southern Africa,Site 18,neonate,2019,Klebsiella pneumoniae,ST950,196828,99,5361006,0,KL7,K7,Typeable,O1/O2v1,O1ab,Typeable
BG31,BabyGERMS,South Africa,Southern Africa,Site 18,neonate,2019,Klebsiella pneumoniae,ST950,196828,91,5347131,0,KL7,K7,Typeable,O1/O2v1,O1ab,Typeable
BG88,BabyGERMS,South Africa,Southern Africa,Site 18,neonate,2019,Klebsiella pneumoniae,ST950,196828,84,5353613,0,KL7,K7,Typeable,O1/O2v1,O1ab,Typeable
BG1517,BabyGERMS,South Africa,Southern Africa,Site 20,neonate,2020,Klebsiella pneumoniae,ST76,56825,174,5382344,0,KL10,K10,Typeable,O3/O3a,O3/O3a,Typeable
BG1519,BabyGERMS,South Africa,Southern Africa,Site 20,neonate,2020,Klebsiella pneumoniae,ST76,56825,174,5382344,0,KL10,K10,Typeable,O3/O3a,O3/O3a,Typeable
BG164,BabyGERMS,South Africa,Southern Africa,Site 19,neonate,2019,Klebsiella pneumoniae,ST152,196787,82,5471902,2,KL149,unknown (KL149),Typeable,O4,O4,Typeable
